#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Cardiac muscle contraction	KEGG PATHWAY	ssc04260	16	75	0.00907901025272	0.0579327320888	ENSSSCG00000011325|ENSSSCG00000014560|ENSSSCG00000006556|ENSSSCG00000011441|ENSSSCG00000015402|ENSSSCG00000036789|ENSSSCG00000005316|ENSSSCG00000017510|ENSSSCG00000006391|ENSSSCG00000010142|ENSSSCG00000004570|ENSSSCG00000003257|ENSSSCG00000017271|ENSSSCG00000002029|ENSSSCG00000015084|ENSSSCG00000039710	http://www.genome.jp/kegg-bin/show_pathway?ssc04260/ssc:733677%09red/ssc:541593%09red/ssc:100514316%09red/ssc:100038031%09red/ssc:396828%09red/ssc:100156435%09red/ssc:100519594%09red/ssc:397377%09red/ssc:396690%09red/ssc:396693%09red/ssc:396860%09red/ssc:396856%09red/ssc:100519779%09red/ssc:100037999%09red/ssc:100515755%09red/ssc:100620599%09red
Tryptophan metabolism	KEGG PATHWAY	ssc00380	11	43	0.0096442387626	0.0601082787994	ENSSSCG00000022009|ENSSSCG00000008868|ENSSSCG00000025686|ENSSSCG00000013729|ENSSSCG00000016676|ENSSSCG00000040296|ENSSSCG00000018041|ENSSSCG00000038660|ENSSSCG00000009889|ENSSSCG00000001901|ENSSSCG00000023215	http://www.genome.jp/kegg-bin/show_pathway?ssc00380/ssc:100301559%09red/ssc:448846%09red/ssc:100522477%09red/ssc:100512997%09red/ssc:100152910%09red/ssc:397148%09red/ssc:414909%09red/ssc:396857%09red/ssc:733685%09red/ssc:100514283%09red/ssc:100525303%09red
Histidine metabolism	KEGG PATHWAY	ssc00340	8	26	0.0109061985155	0.0664286636851	ENSSSCG00000022009|ENSSSCG00000001823|ENSSSCG00000004822|ENSSSCG00000027926|ENSSSCG00000000892|ENSSSCG00000023215|ENSSSCG00000018041|ENSSSCG00000009889	http://www.genome.jp/kegg-bin/show_pathway?ssc00340/ssc:106504111%09red/ssc:100154617%09red/ssc:100525303%09red/ssc:414909%09red/ssc:733685%09red/ssc:396857%09red/ssc:100157217%09red/ssc:397517%09red
Pantothenate and CoA biosynthesis	KEGG PATHWAY	ssc00770	6	19	0.0238942651909	0.142303623804	ENSSSCG00000010456|ENSSSCG00000004181|ENSSSCG00000004180|ENSSSCG00000006040|ENSSSCG00000010060|ENSSSCG00000003139	http://www.genome.jp/kegg-bin/show_pathway?ssc00770/ssc:100156500%09red/ssc:100155919%09red/ssc:100152784%09red/ssc:397246%09red/ssc:100154650%09red/ssc:396841%09red
Starch and sucrose metabolism	KEGG PATHWAY	ssc00500	11	51	0.0259805631928	0.151365020341	ENSSSCG00000034976|ENSSSCG00000013022|ENSSSCG00000039276|ENSSSCG00000034442|ENSSSCG00000034735|ENSSSCG00000040980|ENSSSCG00000007739|ENSSSCG00000036449|ENSSSCG00000008935|ENSSSCG00000036274|ENSSSCG00000008261	http://www.genome.jp/kegg-bin/show_pathway?ssc00500/ssc:100738495%09red/ssc:100514063%09red/ssc:733659%09red/ssc:100624700%09red/ssc:100515741%09red/ssc:100152603%09red/ssc:100623255%09red/ssc:100624788%09red/ssc:100134959%09red/ssc:100144519%09red/ssc:494561%09red
Synthesis and degradation of ketone bodies	KEGG PATHWAY	ssc00072	4	9	0.0265865344192	0.151599813284	ENSSSCG00000016863|ENSSSCG00000026025|ENSSSCG00000024109|ENSSSCG00000036808	http://www.genome.jp/kegg-bin/show_pathway?ssc00072/ssc:396978%09red/ssc:100155725%09red/ssc:100621218%09red/ssc:397673%09red
Protein digestion and absorption	KEGG PATHWAY	ssc04974	16	87	0.0275226963987	0.153668388226	ENSSSCG00000004484|ENSSSCG00000005380|ENSSSCG00000027331|ENSSSCG00000016034|ENSSSCG00000016035|ENSSSCG00000006391|ENSSSCG00000015894|ENSSSCG00000005751|ENSSSCG00000009413|ENSSSCG00000013667|ENSSSCG00000015326|ENSSSCG00000025858|ENSSSCG00000028022|ENSSSCG00000015084|ENSSSCG00000009545|ENSSSCG00000022506	http://www.genome.jp/kegg-bin/show_pathway?ssc04974/ssc:100623720%09red/ssc:541593%09red/ssc:100626716%09red/ssc:100620394%09red/ssc:100628118%09red/ssc:100155038%09red/ssc:100156689%09red/ssc:100101551%09red/ssc:100101552%09red/ssc:397532%09red/ssc:397533%09red/ssc:397531%09red/ssc:100153454%09red/ssc:396828%09red/ssc:100152001%09red/ssc:397492%09red
Proteoglycans in cancer	KEGG PATHWAY	ssc05205	30	196	0.028870774835	0.155066635468	ENSSSCG00000010816|ENSSSCG00000008629|ENSSSCG00000006088|ENSSSCG00000016140|ENSSSCG00000003909|ENSSSCG00000008601|ENSSSCG00000032693|ENSSSCG00000016364|ENSSSCG00000016578|ENSSSCG00000039535|ENSSSCG00000014443|ENSSSCG00000040643|ENSSSCG00000000915|ENSSSCG00000000916|ENSSSCG00000016634|ENSSSCG00000016635|ENSSSCG00000004789|ENSSSCG00000002829|ENSSSCG00000008540|ENSSSCG00000010311|ENSSSCG00000010925|ENSSSCG00000003183|ENSSSCG00000001565|ENSSSCG00000027801|ENSSSCG00000020725|ENSSSCG00000031866|ENSSSCG00000014362|ENSSSCG00000009002|ENSSSCG00000003514|ENSSSCG00000014878	http://www.genome.jp/kegg-bin/show_pathway?ssc05205/ssc:100125375%09red/ssc:100152607%09red/ssc:492313%09red/ssc:396957%09red/ssc:100519058%09red/ssc:397378%09red/ssc:397391%09red/ssc:397394%09red/ssc:641358%09red/ssc:100525045%09red/ssc:396623%09red/ssc:100623732%09red/ssc:100623143%09red/ssc:404693%09red/ssc:574062%09red/ssc:397084%09red/ssc:100525965%09red/ssc:100519770%09red/ssc:100525832%09red/ssc:100152754%09red/ssc:100516558%09red/ssc:100525766%09red/ssc:100517288%09red/ssc:100511937%09red/ssc:396775%09red/ssc:100518997%09red/ssc:100516166%09red/ssc:397564%09red/ssc:100626014%09red/ssc:397445%09red
Valine, leucine and isoleucine degradation	KEGG PATHWAY	ssc00280	11	52	0.0289303424381	0.155066635468	ENSSSCG00000026025|ENSSSCG00000012327|ENSSSCG00000036808|ENSSSCG00000009522|ENSSSCG00000004510|ENSSSCG00000016829|ENSSSCG00000009889|ENSSSCG00000040296|ENSSSCG00000018041|ENSSSCG00000016863|ENSSSCG00000003139	http://www.genome.jp/kegg-bin/show_pathway?ssc00280/ssc:100524293%09red/ssc:100525303%09red/ssc:100312959%09red/ssc:100524103%09red/ssc:448846%09red/ssc:733685%09red/ssc:396978%09red/ssc:100621218%09red/ssc:396841%09red/ssc:397673%09red/ssc:100513890%09red
Pentose phosphate pathway	KEGG PATHWAY	ssc00030	7	27	0.0337092553582	0.177138832079	ENSSSCG00000038300|ENSSSCG00000017759|ENSSSCG00000010947|ENSSSCG00000031174|ENSSSCG00000022390|ENSSSCG00000008207|ENSSSCG00000021129	http://www.genome.jp/kegg-bin/show_pathway?ssc00030/ssc:100038014%09red/ssc:100512013%09red/ssc:100134828%09red/ssc:100515523%09red/ssc:106504108%09red/ssc:733601%09red/ssc:397038%09red
Ubiquinone and other terpenoid-quinone biosynthesis	KEGG PATHWAY	ssc00130	4	10	0.0345533403951	0.178082600498	ENSSSCG00000004349|ENSSSCG00000002736|ENSSSCG00000009805|ENSSSCG00000035364	http://www.genome.jp/kegg-bin/show_pathway?ssc00130/ssc:397443%09red/ssc:100152047%09red/ssc:100511756%09red/ssc:100522924%09red
Peroxisome	KEGG PATHWAY	ssc04146	15	83	0.0360513047985	0.182297163887	ENSSSCG00000026025|ENSSSCG00000015784|ENSSSCG00000040296|ENSSSCG00000011477|ENSSSCG00000027439|ENSSSCG00000005398|ENSSSCG00000004643|ENSSSCG00000028620|ENSSSCG00000016402|ENSSSCG00000006535|ENSSSCG00000009942|ENSSSCG00000013896|ENSSSCG00000017781|ENSSSCG00000009931|ENSSSCG00000008522	http://www.genome.jp/kegg-bin/show_pathway?ssc04146/ssc:100152230%09red/ssc:100152301%09red/ssc:100517616%09red/ssc:100519592%09red/ssc:100515508%09red/ssc:448846%09red/ssc:100515259%09red/ssc:100621218%09red/ssc:100626343%09red/ssc:397134%09red/ssc:448982%09red/ssc:100627803%09red/ssc:100515185%09red/ssc:494011%09red/ssc:100516877%09red
Fatty acid degradation	KEGG PATHWAY	ssc00071	9	42	0.04296081509	0.21321293415	ENSSSCG00000015784|ENSSSCG00000022364|ENSSSCG00000004510|ENSSSCG00000013729|ENSSSCG00000009182|ENSSSCG00000009184|ENSSSCG00000040296|ENSSSCG00000018041|ENSSSCG00000009889	http://www.genome.jp/kegg-bin/show_pathway?ssc00071/ssc:100512795%09red/ssc:448982%09red/ssc:100525303%09red/ssc:100522477%09red/ssc:100312959%09red/ssc:448846%09red/ssc:733685%09red/ssc:399528%09red/ssc:100513366%09red
Hippo signaling pathway -multiple species	KEGG PATHWAY	ssc04392	7	29	0.0445484881906	0.21571669159	ENSSSCG00000000736|ENSSSCG00000000107|ENSSSCG00000004017|ENSSSCG00000013399|ENSSSCG00000025568|ENSSSCG00000029189|ENSSSCG00000014878	http://www.genome.jp/kegg-bin/show_pathway?ssc04392/ssc:100525766%09red/ssc:100623166%09red/ssc:100523244%09red/ssc:100514201%09red/ssc:100216478%09red/ssc:100152085%09red/ssc:100625350%09red
Adipocytokine signaling pathway	KEGG PATHWAY	ssc04920	13	71	0.045075129586	0.21571669159	ENSSSCG00000015405|ENSSSCG00000015784|ENSSSCG00000011131|ENSSSCG00000022364|ENSSSCG00000039103|ENSSSCG00000016200|ENSSSCG00000007507|ENSSSCG00000036449|ENSSSCG00000006328|ENSSSCG00000029275|ENSSSCG00000009937|ENSSSCG00000002009|ENSSSCG00000023915	http://www.genome.jp/kegg-bin/show_pathway?ssc04920/ssc:100134959%09red/ssc:448982%09red/ssc:100154993%09red/ssc:733702%09red/ssc:100144531%09red/ssc:100621326%09red/ssc:397149%09red/ssc:445465%09red/ssc:397013%09red/ssc:399528%09red/ssc:403165%09red/ssc:100739542%09red/ssc:397660%09red
Glycerolipid metabolism	KEGG PATHWAY	ssc00561	11	58	0.0517760255734	0.243438155328	ENSSSCG00000024134|ENSSSCG00000001435|ENSSSCG00000040631|ENSSSCG00000012841|ENSSSCG00000038494|ENSSSCG00000008624|ENSSSCG00000011432|ENSSSCG00000004596|ENSSSCG00000018041|ENSSSCG00000030709|ENSSSCG00000009889	http://www.genome.jp/kegg-bin/show_pathway?ssc00561/ssc:100187579%09red/ssc:100233193%09red/ssc:100049704%09red/ssc:100525303%09red/ssc:100522516%09red/ssc:100170845%09red/ssc:100233189%09red/ssc:733685%09red/ssc:397537%09red/ssc:100624333%09red/ssc:613128%09red
Mineral absorption	KEGG PATHWAY	ssc04978	9	44	0.0530937644132	0.245329807978	ENSSSCG00000026414|ENSSSCG00000028203|ENSSSCG00000027157|ENSSSCG00000006391|ENSSSCG00000011640|ENSSSCG00000039745|ENSSSCG00000030300|ENSSSCG00000015084|ENSSSCG00000023684	http://www.genome.jp/kegg-bin/show_pathway?ssc04978/ssc:541593%09red/ssc:100312962%09red/ssc:445512%09red/ssc:396996%09red/ssc:397417%09red/ssc:396828%09red/ssc:100737517%09red/ssc:396845%09red/ssc:396827%09red
2-Oxocarboxylic acid metabolism	KEGG PATHWAY	ssc01210	5	18	0.0558653970226	0.253761464442	ENSSSCG00000010537|ENSSSCG00000003139|ENSSSCG00000024179|ENSSSCG00000035686|ENSSSCG00000002847	http://www.genome.jp/kegg-bin/show_pathway?ssc01210/ssc:100048960%09red/ssc:397519%09red/ssc:396841%09red/ssc:396967%09red/ssc:100521318%09red
Malaria	KEGG PATHWAY	ssc05144	10	52	0.0578665401397	0.255232940324	ENSSSCG00000015405|ENSSSCG00000010816|ENSSSCG00000006088|ENSSSCG00000036223|ENSSSCG00000017277|ENSSSCG00000008601|ENSSSCG00000004789|ENSSSCG00000014117|ENSSSCG00000009002|ENSSSCG00000004012	http://www.genome.jp/kegg-bin/show_pathway?ssc05144/ssc:100154447%09red/ssc:492313%09red/ssc:733702%09red/ssc:100153940%09red/ssc:397084%09red/ssc:100513005%09red/ssc:100519770%09red/ssc:396623%09red/ssc:100152754%09red/ssc:396941%09red
Phenylalanine, tyrosine and tryptophan biosynthesis	KEGG PATHWAY	ssc00400	3	7	0.0580940647753	0.255232940324	ENSSSCG00000010537|ENSSSCG00000000856|ENSSSCG00000002736	http://www.genome.jp/kegg-bin/show_pathway?ssc00400/ssc:100521900%09red/ssc:100511756%09red/ssc:396967%09red
Maturity onset diabetes of the young	KEGG PATHWAY	ssc04950	6	25	0.0619400899112	0.26774103381	ENSSSCG00000007371|ENSSSCG00000009919|ENSSSCG00000007114|ENSSSCG00000003092|ENSSSCG00000024975|ENSSSCG00000020927	http://www.genome.jp/kegg-bin/show_pathway?ssc04950/ssc:397429%09red/ssc:100513828%09red/ssc:574067%09red/ssc:100523688%09red/ssc:100512416%09red/ssc:733636%09red
beta-Alanine metabolism	KEGG PATHWAY	ssc00410	7	32	0.0646026029808	0.270800536131	ENSSSCG00000037487|ENSSSCG00000004822|ENSSSCG00000006040|ENSSSCG00000010060|ENSSSCG00000018041|ENSSSCG00000009889|ENSSSCG00000040296	http://www.genome.jp/kegg-bin/show_pathway?ssc00410/ssc:106504111%09red/ssc:100520329%09red/ssc:100156500%09red/ssc:100155919%09red/ssc:448846%09red/ssc:733685%09red/ssc:100525303%09red
ABC transporters	KEGG PATHWAY	ssc02010	9	46	0.0646687847478	0.270800536131	ENSSSCG00000010543|ENSSSCG00000024520|ENSSSCG00000008051|ENSSSCG00000017257|ENSSSCG00000028620|ENSSSCG00000008453|ENSSSCG00000007874|ENSSSCG00000000571|ENSSSCG00000015926	http://www.genome.jp/kegg-bin/show_pathway?ssc02010/ssc:100127449%09red/ssc:100520216%09red/ssc:100626343%09red/ssc:100518064%09red/ssc:397535%09red/ssc:733619%09red/ssc:100048963%09red/ssc:100518154%09red/ssc:100144586%09red
Folate biosynthesis	KEGG PATHWAY	ssc00790	4	13	0.0658468923674	0.271491802376	ENSSSCG00000005626|ENSSSCG00000016888|ENSSSCG00000001596|ENSSSCG00000034811	http://www.genome.jp/kegg-bin/show_pathway?ssc00790/ssc:100154835%09red/ssc:397619%09red/ssc:100736908%09red/ssc:100512870%09red
Oxytocin signaling pathway	KEGG PATHWAY	ssc04921	24	165	0.0705492515249	0.286472718313	ENSSSCG00000008629|ENSSSCG00000017271|ENSSSCG00000003909|ENSSSCG00000014149|ENSSSCG00000014443|ENSSSCG00000006572|ENSSSCG00000003257|ENSSSCG00000016200|ENSSSCG00000008540|ENSSSCG00000010311|ENSSSCG00000010925|ENSSSCG00000039535|ENSSSCG00000029578|ENSSSCG00000007058|ENSSSCG00000001565|ENSSSCG00000015402|ENSSSCG00000039506|ENSSSCG00000017510|ENSSSCG00000007231|ENSSSCG00000005322|ENSSSCG00000010142|ENSSSCG00000017101|ENSSSCG00000010301|ENSSSCG00000009172	http://www.genome.jp/kegg-bin/show_pathway?ssc04921/ssc:100516581%09red/ssc:100525832%09red/ssc:397378%09red/ssc:100512698%09red/ssc:397394%09red/ssc:396603%09red/ssc:397149%09red/ssc:397377%09red/ssc:397241%09red/ssc:100623143%09red/ssc:100517503%09red/ssc:733590%09red/ssc:100520244%09red/ssc:100524288%09red/ssc:100519779%09red/ssc:100514316%09red/ssc:733677%09red/ssc:100153508%09red/ssc:100511937%09red/ssc:396856%09red/ssc:100739450%09red/ssc:100516166%09red/ssc:100626014%09red/ssc:397445%09red
Linoleic acid metabolism	KEGG PATHWAY	ssc00591	7	33	0.0723257480316	0.289302992126	ENSSSCG00000024537|ENSSSCG00000010546|ENSSSCG00000010488|ENSSSCG00000023320|ENSSSCG00000010780|ENSSSCG00000001901|ENSSSCG00000010291	http://www.genome.jp/kegg-bin/show_pathway?ssc00591/ssc:403111%09red/ssc:100152910%09red/ssc:403216%09red/ssc:403215%09red/ssc:100144468%09red/ssc:403107%09red/ssc:100152597%09red
Steroid biosynthesis	KEGG PATHWAY	ssc00100	5	21	0.0869749432833	0.338428974282	ENSSSCG00000008857|ENSSSCG00000013004|ENSSSCG00000005970|ENSSSCG00000032768|ENSSSCG00000027525	http://www.genome.jp/kegg-bin/show_pathway?ssc00100/ssc:100113409%09red/ssc:396590%09red/ssc:100628197%09red/ssc:100312968%09red/ssc:100514510%09red
AMPK signaling pathway	KEGG PATHWAY	ssc04152	18	120	0.0872102062048	0.338428974282	ENSSSCG00000015405|ENSSSCG00000031174|ENSSSCG00000011133|ENSSSCG00000003018|ENSSSCG00000022364|ENSSSCG00000039103|ENSSSCG00000010947|ENSSSCG00000003909|ENSSSCG00000007371|ENSSSCG00000013501|ENSSSCG00000029944|ENSSSCG00000021129|ENSSSCG00000007507|ENSSSCG00000036449|ENSSSCG00000016200|ENSSSCG00000029275|ENSSSCG00000002009|ENSSSCG00000023915	http://www.genome.jp/kegg-bin/show_pathway?ssc04152/ssc:397038%09red/ssc:100134959%09red/ssc:100134828%09red/ssc:403165%09red/ssc:733702%09red/ssc:100144531%09red/ssc:100522979%09red/ssc:397149%09red/ssc:733636%09red/ssc:100516289%09red/ssc:100511937%09red/ssc:397013%09red/ssc:733601%09red/ssc:397583%09red/ssc:399528%09red/ssc:397561%09red/ssc:100739542%09red/ssc:397660%09red
Regulation of lipolysis in adipocytes	KEGG PATHWAY	ssc04923	10	57	0.0883956276109	0.338428974282	ENSSSCG00000024134|ENSSSCG00000021059|ENSSSCG00000006572|ENSSSCG00000001844|ENSSSCG00000003909|ENSSSCG00000012841|ENSSSCG00000017101|ENSSSCG00000040681|ENSSSCG00000003018|ENSSSCG00000038598	http://www.genome.jp/kegg-bin/show_pathway?ssc04923/ssc:100233193%09red/ssc:100049704%09red/ssc:100153508%09red/ssc:606743%09red/ssc:100517503%09red/ssc:100511937%09red/ssc:654411%09red/ssc:397583%09red/ssc:397357%09red/ssc:399533%09red
Amphetamine addiction	KEGG PATHWAY	ssc05031	11	66	0.097553820582	0.36823132276	ENSSSCG00000008540|ENSSSCG00000014443|ENSSSCG00000022009|ENSSSCG00000013501|ENSSSCG00000039535|ENSSSCG00000000084|ENSSSCG00000017498|ENSSSCG00000010301|ENSSSCG00000009172|ENSSSCG00000010311|ENSSSCG00000023215	http://www.genome.jp/kegg-bin/show_pathway?ssc05031/ssc:397378%09red/ssc:100144302%09red/ssc:414909%09red/ssc:396603%09red/ssc:100522979%09red/ssc:397241%09red/ssc:397394%09red/ssc:396857%09red/ssc:100736966%09red/ssc:100516166%09red/ssc:100626014%09red
Selenocompound metabolism	KEGG PATHWAY	ssc00450	4	16	0.107745446104	0.40105249383	ENSSSCG00000016676|ENSSSCG00000010437|ENSSSCG00000016334|ENSSSCG00000003789	http://www.genome.jp/kegg-bin/show_pathway?ssc00450/ssc:100294677%09red/ssc:100156262%09red/ssc:100512997%09red/ssc:733654%09red
Sulfur relay system	KEGG PATHWAY	ssc04122	3	10	0.112623794846	0.413468178339	ENSSSCG00000000133|ENSSSCG00000001596|ENSSSCG00000016888	http://www.genome.jp/kegg-bin/show_pathway?ssc04122/ssc:100154835%09red/ssc:100512870%09red/ssc:100153230%09red
Long-term potentiation	KEGG PATHWAY	ssc04720	11	70	0.127337801434	0.461169334923	ENSSSCG00000008540|ENSSSCG00000014443|ENSSSCG00000000298|ENSSSCG00000007058|ENSSSCG00000023526|ENSSSCG00000004022|ENSSSCG00000039535|ENSSSCG00000010311|ENSSSCG00000010301|ENSSSCG00000009172|ENSSSCG00000000084	http://www.genome.jp/kegg-bin/show_pathway?ssc04720/ssc:397378%09red/ssc:100515286%09red/ssc:100621808%09red/ssc:100144302%09red/ssc:397394%09red/ssc:100516581%09red/ssc:396603%09red/ssc:100620989%09red/ssc:397241%09red/ssc:100516166%09red/ssc:100626014%09red
Systemic lupus erythematosus	KEGG PATHWAY	ssc05322	15	106	0.150750402769	0.530327864973	ENSSSCG00000038706|ENSSSCG00000003834|ENSSSCG00000003835|ENSSSCG00000038323|ENSSSCG00000013551|ENSSSCG00000033512|ENSSSCG00000005840|ENSSSCG00000010144|ENSSSCG00000003524|ENSSSCG00000021411|ENSSSCG00000000675|ENSSSCG00000016856|ENSSSCG00000016861|ENSSSCG00000016859|ENSSSCG00000005512	http://www.genome.jp/kegg-bin/show_pathway?ssc05322/ssc:100037954%09red/ssc:397072%09red/ssc:445460%09red/ssc:445461%09red/ssc:100157406%09red/ssc:100157327%09red/ssc:100518846%09red/ssc:414437%09red/ssc:445464%09red/ssc:100037955%09red/ssc:100519531%09red/ssc:100037953%09red/ssc:100037952%09red/ssc:100037951%09red/ssc:397526%09red
Tight junction	KEGG PATHWAY	ssc04530	19	140	0.15080744572	0.530327864973	ENSSSCG00000011131|ENSSSCG00000007799|ENSSSCG00000038323|ENSSSCG00000018003|ENSSSCG00000030361|ENSSSCG00000005095|ENSSSCG00000000633|ENSSSCG00000015960|ENSSSCG00000007718|ENSSSCG00000003183|ENSSSCG00000010144|ENSSSCG00000014960|ENSSSCG00000007288|ENSSSCG00000039710|ENSSSCG00000029441|ENSSSCG00000006621|ENSSSCG00000038901|ENSSSCG00000002029|ENSSSCG00000020680	http://www.genome.jp/kegg-bin/show_pathway?ssc04530/ssc:733578%09red/ssc:100144306%09red/ssc:100152572%09red/ssc:100621326%09red/ssc:100152637%09red/ssc:100518125%09red/ssc:100157963%09red/ssc:100513610%09red/ssc:100157406%09red/ssc:474162%09red/ssc:396690%09red/ssc:100157870%09red/ssc:100302018%09red/ssc:100533200%09red/ssc:396860%09red/ssc:100516558%09red/ssc:100519531%09red/ssc:100302017%09red/ssc:100125538%09red
Pyruvate metabolism	KEGG PATHWAY	ssc00620	7	41	0.152370319414	0.530327864973	ENSSSCG00000004454|ENSSSCG00000001930|ENSSSCG00000018041|ENSSSCG00000009889|ENSSSCG00000009937|ENSSSCG00000002009|ENSSSCG00000007507	http://www.genome.jp/kegg-bin/show_pathway?ssc00620/ssc:100525303%09red/ssc:100158154%09red/ssc:100154993%09red/ssc:100144531%09red/ssc:733685%09red/ssc:403165%09red/ssc:397538%09red
Bladder cancer	KEGG PATHWAY	ssc05219	7	42	0.164490195781	0.565171441913	ENSSSCG00000009134|ENSSSCG00000014362|ENSSSCG00000004789|ENSSSCG00000002829|ENSSSCG00000032170|ENSSSCG00000025652|ENSSSCG00000001565	http://www.genome.jp/kegg-bin/show_pathway?ssc05219/ssc:100623143%09red/ssc:397391%09red/ssc:397083%09red/ssc:492313%09red/ssc:100624415%09red/ssc:100048953%09red/ssc:397564%09red
Calcium signaling pathway	KEGG PATHWAY	ssc04020	24	187	0.172125690242	0.583920063098	ENSSSCG00000011441|ENSSSCG00000002844|ENSSSCG00000007744|ENSSSCG00000017868|ENSSSCG00000007424|ENSSSCG00000039535|ENSSSCG00000014443|ENSSSCG00000034386|ENSSSCG00000020725|ENSSSCG00000010330|ENSSSCG00000038598|ENSSSCG00000020941|ENSSSCG00000010311|ENSSSCG00000007805|ENSSSCG00000007058|ENSSSCG00000012411|ENSSSCG00000027550|ENSSSCG00000016192|ENSSSCG00000010101|ENSSSCG00000007231|ENSSSCG00000010142|ENSSSCG00000017101|ENSSSCG00000010301|ENSSSCG00000009172	http://www.genome.jp/kegg-bin/show_pathway?ssc04020/ssc:100516581%09red/ssc:100156094%09red/ssc:100625881%09red/ssc:414905%09red/ssc:100515342%09red/ssc:397394%09red/ssc:396603%09red/ssc:397357%09red/ssc:100525045%09red/ssc:397241%09red/ssc:100152612%09red/ssc:100517503%09red/ssc:100524288%09red/ssc:100627099%09red/ssc:100525092%09red/ssc:100519563%09red/ssc:100516962%09red/ssc:396875%09red/ssc:100156435%09red/ssc:396856%09red/ssc:100516166%09red/ssc:397548%09red/ssc:397119%09red/ssc:100626014%09red
Fatty acid biosynthesis	KEGG PATHWAY	ssc00061	3	13	0.180055735837	0.603186715055	ENSSSCG00000009937|ENSSSCG00000015784|ENSSSCG00000029944	http://www.genome.jp/kegg-bin/show_pathway?ssc00061/ssc:100154993%09red/ssc:397561%09red/ssc:448982%09red
cGMP-PKG signaling pathway	KEGG PATHWAY	ssc04022	22	172	0.188298586542	0.623012607323	ENSSSCG00000008629|ENSSSCG00000003909|ENSSSCG00000014149|ENSSSCG00000007058|ENSSSCG00000021059|ENSSSCG00000006572|ENSSSCG00000034386|ENSSSCG00000022383|ENSSSCG00000010330|ENSSSCG00000038598|ENSSSCG00000007805|ENSSSCG00000029578|ENSSSCG00000000084|ENSSSCG00000008540|ENSSSCG00000006391|ENSSSCG00000013501|ENSSSCG00000007231|ENSSSCG00000005322|ENSSSCG00000017101|ENSSSCG00000010301|ENSSSCG00000009172|ENSSSCG00000015084	http://www.genome.jp/kegg-bin/show_pathway?ssc04022/ssc:100516581%09red/ssc:100522979%09red/ssc:397378%09red/ssc:100512698%09red/ssc:606743%09red/ssc:396603%09red/ssc:397357%09red/ssc:396828%09red/ssc:397241%09red/ssc:397555%09red/ssc:541593%09red/ssc:100144302%09red/ssc:100152612%09red/ssc:100517503%09red/ssc:733590%09red/ssc:100524288%09red/ssc:100153508%09red/ssc:100516962%09red/ssc:100511937%09red/ssc:396875%09red/ssc:100739450%09red/ssc:397445%09red
Leukocyte transendothelial migration	KEGG PATHWAY	ssc04670	16	120	0.191948286805	0.627343181264	ENSSSCG00000017277|ENSSSCG00000008629|ENSSSCG00000038323|ENSSSCG00000003909|ENSSSCG00000015200|ENSSSCG00000007718|ENSSSCG00000023526|ENSSSCG00000010144|ENSSSCG00000002829|ENSSSCG00000031970|ENSSSCG00000020680|ENSSSCG00000007799|ENSSSCG00000038901|ENSSSCG00000010313|ENSSSCG00000039710|ENSSSCG00000032693	http://www.genome.jp/kegg-bin/show_pathway?ssc04670/ssc:733578%09red/ssc:100521638%09red/ssc:397391%09red/ssc:474162%09red/ssc:100511937%09red/ssc:100302018%09red/ssc:100157406%09red/ssc:396974%09red/ssc:396690%09red/ssc:100522817%09red/ssc:100620989%09red/ssc:574062%09red/ssc:100519531%09red/ssc:100302017%09red/ssc:396941%09red/ssc:397445%09red
Insulin secretion	KEGG PATHWAY	ssc04911	12	86	0.195088595424	0.62992462137	ENSSSCG00000039535|ENSSSCG00000014443|ENSSSCG00000020927|ENSSSCG00000014213|ENSSSCG00000013501|ENSSSCG00000006391|ENSSSCG00000010142|ENSSSCG00000010311|ENSSSCG00000017101|ENSSSCG00000007058|ENSSSCG00000015084|ENSSSCG00000000084	http://www.genome.jp/kegg-bin/show_pathway?ssc04911/ssc:100519705%09red/ssc:397429%09red/ssc:541593%09red/ssc:100144302%09red/ssc:397394%09red/ssc:100516581%09red/ssc:100517503%09red/ssc:100522979%09red/ssc:396828%09red/ssc:396856%09red/ssc:100516166%09red/ssc:100626014%09red
AGE-RAGE signaling pathway in diabetic complications	KEGG PATHWAY	ssc04933	14	104	0.202786469949	0.640790753253	ENSSSCG00000010816|ENSSSCG00000007058|ENSSSCG00000027550|ENSSSCG00000030361|ENSSSCG00000003909|ENSSSCG00000016034|ENSSSCG00000007115|ENSSSCG00000022447|ENSSSCG00000002829|ENSSSCG00000032693|ENSSSCG00000015326|ENSSSCG00000009545|ENSSSCG00000001573|ENSSSCG00000016192	http://www.genome.jp/kegg-bin/show_pathway?ssc04933/ssc:100627099%09red/ssc:397391%09red/ssc:100157642%09red/ssc:100516581%09red/ssc:100157844%09red/ssc:397084%09red/ssc:397119%09red/ssc:100511937%09red/ssc:100626716%09red/ssc:100533200%09red/ssc:574062%09red/ssc:100153454%09red/ssc:396677%09red/ssc:100152001%09red
