category	over_represented_pvalue	qvalue	numDEInCat	numInCat	term	ontology	DE_id
GO:0003220	0.190848257708447	0.414365736823754	1	2	left ventricular cardiac muscle tissue morphogenesis	BP	ENSSSCG00000010142
GO:0002133	0.191259675467293	0.41491171467367	1	2	polycystin complex	CC	ENSSSCG00000008041
GO:0006656	0.191352050882749	0.41491171467367	2	10	phosphatidylcholine biosynthetic process	BP	ENSSSCG00000028350,ENSSSCG00000006355
GO:0097050	0.191423619787764	0.41491171467367	1	2	type B pancreatic cell apoptotic process	BP	ENSSSCG00000010142
GO:0048763	0.19143352241782	0.41491171467367	1	2	calcium-induced calcium release activity	MF	ENSSSCG00000010142
GO:0040037	0.191579061772086	0.415046228815168	2	9	negative regulation of fibroblast growth factor receptor signaling pathway	BP	ENSSSCG00000016364,ENSSSCG00000004789
GO:0060402	0.191924294088548	0.415613061937396	1	2	calcium ion transport into cytosol	BP	ENSSSCG00000010142
GO:0098907	0.192157919163025	0.415937820669812	1	2	regulation of SA node cell action potential	BP	ENSSSCG00000010142
GO:0045540	0.19234757402607	0.416167161904969	1	2	regulation of cholesterol biosynthetic process	BP	ENSSSCG00000008595
GO:0006111	0.192978796222681	0.417351272213646	2	9	regulation of gluconeogenesis	BP	ENSSSCG00000031174,ENSSSCG00000033214
GO:0051016	0.193354653294432	0.417848546714926	2	10	barbed-end actin filament capping	BP	ENSSSCG00000028113,ENSSSCG00000000600
GO:2000278	0.193376811341723	0.417848546714926	1	3	regulation of DNA biosynthetic process	BP	ENSSSCG00000001565
GO:0009298	0.193827454742711	0.418599153400283	1	3	GDP-mannose biosynthetic process	BP	ENSSSCG00000000061
GO:0004198	0.193892568439431	0.418599153400283	3	17	calcium-dependent cysteine-type endopeptidase activity	MF	ENSSSCG00000029411,ENSSSCG00000027472,ENSSSCG00000012584
GO:0009966	0.194542143595713	0.419819243905333	4	26	regulation of signal transduction	BP	ENSSSCG00000003722,ENSSSCG00000024134,ENSSSCG00000001817,ENSSSCG00000013475
GO:1902732	0.194648435584793	0.419866386866634	1	3	positive regulation of chondrocyte proliferation	BP	ENSSSCG00000008446
GO:0060716	0.195160287155281	0.420787921828298	3	18	labyrinthine layer blood vessel development	BP	ENSSSCG00000027550,ENSSSCG00000016140,ENSSSCG00000004038
GO:0007595	0.195331601473052	0.420973242691218	3	17	lactation	BP	ENSSSCG00000010603,ENSSSCG00000008522,ENSSSCG00000016634
GO:0031362	0.195426331113941	0.420973242691218	2	10	anchored component of external side of plasma membrane	CC	ENSSSCG00000014812,ENSSSCG00000014369
GO:0005862	0.195500244845942	0.420973242691218	1	3	muscle thin filament tropomyosin	CC	ENSSSCG00000005316
GO:0008180	0.195722581842294	0.421269557108175	4	26	COP9 signalosome	CC	ENSSSCG00000016323,ENSSSCG00000023010,ENSSSCG00000022725,ENSSSCG00000014960
GO:0031092	0.196205683213376	0.422126636493685	1	3	platelet alpha granule membrane	CC	ENSSSCG00000017082
GO:0030593	0.196780479732913	0.423180166622856	4	32	neutrophil chemotaxis	BP	ENSSSCG00000015105,ENSSSCG00000032343,ENSSSCG00000003805,ENSSSCG00000038162
GO:0010831	0.196921922319663	0.423301252820305	2	9	positive regulation of myotube differentiation	BP	ENSSSCG00000040643,ENSSSCG00000008215
GO:0043116	0.198014304999826	0.425465481615875	2	9	negative regulation of vascular permeability	BP	ENSSSCG00000040735,ENSSSCG00000013408
GO:0005154	0.198613634940987	0.426568895432651	4	25	epidermal growth factor receptor binding	MF	ENSSSCG00000008965,ENSSSCG00000008397,ENSSSCG00000009134,ENSSSCG00000014362
GO:0060317	0.198791053817	0.426765595672765	2	10	cardiac epithelial to mesenchymal transition	BP	ENSSSCG00000010816,ENSSSCG00000006533
GO:0046621	0.198954916988452	0.426933037232017	2	9	negative regulation of organ growth	BP	ENSSSCG00000035456,ENSSSCG00000030820
GO:0002092	0.199095175537509	0.427049703525667	3	17	positive regulation of receptor internalization	BP	ENSSSCG00000035299,ENSSSCG00000025020,ENSSSCG00000009134
GO:0030091	0.199477310797141	0.427500512622149	1	3	protein repair	BP	ENSSSCG00000026004
GO:0033743	0.199477310797141	0.427500512622149	1	3	peptide-methionine (R)-S-oxide reductase activity	MF	ENSSSCG00000026004
GO:0010387	0.199844075643699	0.428102000904986	1	3	COP9 signalosome assembly	BP	ENSSSCG00000016323
GO:0050880	0.200709337551564	0.429600144617052	2	11	regulation of blood vessel size	BP	ENSSSCG00000040779,ENSSSCG00000001488
GO:0051725	0.200716238122569	0.429600144617052	1	3	protein de-ADP-ribosylation	BP	ENSSSCG00000024103
GO:0008270	0.200951762893123	0.429919176034685	54	547	zinc ion binding	MF	ENSSSCG00000028047,ENSSSCG00000014108,ENSSSCG00000002829,ENSSSCG00000022209,ENSSSCG00000015066,ENSSSCG00000000875,ENSSSCG00000000258,ENSSSCG00000016754,ENSSSCG00000000687,ENSSSCG00000022383,ENSSSCG00000007371,ENSSSCG00000009793,ENSSSCG00000006353,ENSSSCG00000009184,ENSSSCG00000026140,ENSSSCG00000022390,ENSSSCG00000007170,ENSSSCG00000009182,ENSSSCG00000014221,ENSSSCG00000025560,ENSSSCG00000001233,ENSSSCG00000023684,ENSSSCG00000011885,ENSSSCG00000010545,ENSSSCG00000009045,ENSSSCG00000000368,ENSSSCG00000003780,ENSSSCG00000009413,ENSSSCG00000032787,ENSSSCG00000013873,ENSSSCG00000011801,ENSSSCG00000011496,ENSSSCG00000024975,ENSSSCG00000021084,ENSSSCG00000030300,ENSSSCG00000006328,ENSSSCG00000011538,ENSSSCG00000014111,ENSSSCG00000024043,ENSSSCG00000011765,ENSSSCG00000004121,ENSSSCG00000013337,ENSSSCG00000027684,ENSSSCG00000008854,ENSSSCG00000010071,ENSSSCG00000020758,ENSSSCG00000026425,ENSSSCG00000010969,ENSSSCG00000026004,ENSSSCG00000011890,ENSSSCG00000017164,ENSSSCG00000006732,ENSSSCG00000004679,ENSSSCG00000007757
GO:0043407	0.201447059033728	0.430608244847676	5	35	negative regulation of MAP kinase activity	BP	ENSSSCG00000040643,ENSSSCG00000005045,ENSSSCG00000016634,ENSSSCG00000039103,ENSSSCG00000022945
GO:0035723	0.202761628625278	0.433231980027883	1	3	interleukin-15-mediated signaling pathway	BP	ENSSSCG00000000687
GO:0060326	0.202966608188993	0.433483666630444	6	52	cell chemotaxis	BP	ENSSSCG00000013370,ENSSSCG00000033327,ENSSSCG00000037358,ENSSSCG00000011131,ENSSSCG00000014362,ENSSSCG00000038162
GO:0060166	0.203464857788153	0.434361216368698	1	3	olfactory pit development	BP	ENSSSCG00000004822
GO:2000147	0.203552592286387	0.434362012381079	2	10	positive regulation of cell motility	BP	ENSSSCG00000035446,ENSSSCG00000038162
GO:0007097	0.20447652451778	0.43614640922454	2	9	nuclear migration	BP	ENSSSCG00000017232,ENSSSCG00000026116
GO:0004487	0.205224195901614	0.437195772251164	1	3	methylenetetrahydrofolate dehydrogenase (NAD+) activity	MF	ENSSSCG00000002269
GO:0034103	0.205229076123221	0.437195772251164	1	3	regulation of tissue remodeling	BP	ENSSSCG00000014117
GO:0004346	0.205263138038661	0.437195772251164	1	3	glucose-6-phosphatase activity	MF	ENSSSCG00000036449
GO:0001786	0.205320218866949	0.437195772251164	4	26	phosphatidylserine binding	MF	ENSSSCG00000027550,ENSSSCG00000004789,ENSSSCG00000009565,ENSSSCG00000007757
GO:0009925	0.205521462854897	0.437436949192871	3	17	basal plasma membrane	CC	ENSSSCG00000031449,ENSSSCG00000011640,ENSSSCG00000033190
GO:2001259	0.205795080186579	0.437831895031097	1	3	positive regulation of cation channel activity	BP	ENSSSCG00000010144
GO:0006874	0.206067216090666	0.438223352610261	8	65	cellular calcium ion homeostasis	BP	ENSSSCG00000006829,ENSSSCG00000010142,ENSSSCG00000023084,ENSSSCG00000038969,ENSSSCG00000015105,ENSSSCG00000016634,ENSSSCG00000013354,ENSSSCG00000034386
GO:0032570	0.206217163578154	0.438354740192638	2	9	response to progesterone	BP	ENSSSCG00000010816,ENSSSCG00000016634
GO:0005882	0.206415265283807	0.438588332902175	8	75	intermediate filament	CC	ENSSSCG00000020785,ENSSSCG00000011033,ENSSSCG00000000253,ENSSSCG00000000252,ENSSSCG00000006474,ENSSSCG00000001025,ENSSSCG00000035223,ENSSSCG00000004241
GO:0035630	0.20662733717157	0.438851397017106	1	3	bone mineralization involved in bone maturation	BP	ENSSSCG00000026701
GO:0044291	0.207014146737294	0.439485199648943	3	17	cell-cell contact zone	CC	ENSSSCG00000036512,ENSSSCG00000033010,ENSSSCG00000022725
GO:0097176	0.207329303807136	0.439966409956927	1	3	epoxide metabolic process	BP	ENSSSCG00000010853
GO:0060688	0.207933201623803	0.440918797719564	1	3	regulation of morphogenesis of a branching structure	BP	ENSSSCG00000005045
GO:0060445	0.207955466744243	0.440918797719564	2	9	branching involved in salivary gland morphogenesis	BP	ENSSSCG00000032761,ENSSSCG00000035227
GO:0051480	0.208137988523527	0.441117680707151	4	26	regulation of cytosolic calcium ion concentration	BP	ENSSSCG00000023084,ENSSSCG00000003156,ENSSSCG00000013252,ENSSSCG00000016634
GO:0017048	0.208913832567109	0.442573317223547	4	24	Rho GTPase binding	MF	ENSSSCG00000001595,ENSSSCG00000014088,ENSSSCG00000008629,ENSSSCG00000032170
GO:0071313	0.209041123927837	0.442654373155539	1	3	cellular response to caffeine	BP	ENSSSCG00000010142
GO:0047756	0.209499174613942	0.443435460272677	1	3	chondroitin 4-sulfotransferase activity	MF	ENSSSCG00000011625
GO:0071474	0.209889863049807	0.443927916655755	1	3	cellular hyperosmotic response	BP	ENSSSCG00000000633
GO:0032827	0.21004819478728	0.443927916655755	1	3	negative regulation of natural killer cell differentiation involved in immune response	BP	ENSSSCG00000025560
GO:0044117	0.21004819478728	0.443927916655755	1	3	growth of symbiont in host	BP	ENSSSCG00000025560
GO:0006556	0.210088975842918	0.443927916655755	1	3	S-adenosylmethionine biosynthetic process	BP	ENSSSCG00000010337
GO:0036343	0.210353347334958	0.444297724277574	1	3	psychomotor behavior	BP	ENSSSCG00000015894
GO:0009100	0.210621642524586	0.444675501754667	2	10	glycoprotein metabolic process	BP	ENSSSCG00000005785,ENSSSCG00000017932
GO:0003073	0.210874287484278	0.444816662322788	2	9	regulation of systemic arterial blood pressure	BP	ENSSSCG00000040735,ENSSSCG00000013408
GO:0010940	0.210948609983067	0.444816662322788	1	3	positive regulation of necrotic cell death	BP	ENSSSCG00000001987
GO:0009407	0.210956896572231	0.444816662322788	1	3	toxin catabolic process	BP	ENSSSCG00000022351
GO:0071733	0.211354413755574	0.445315742226059	1	3	transcriptional activation by promoter-enhancer looping	BP	ENSSSCG00000040875
GO:0070989	0.211372717548974	0.445315742226059	1	3	oxidative demethylation	BP	ENSSSCG00000001901
GO:0061041	0.211750964986617	0.445923675524548	1	3	regulation of wound healing	BP	ENSSSCG00000027130
GO:0010470	0.212569759442309	0.447458443669415	2	9	regulation of gastrulation	BP	ENSSSCG00000007371,ENSSSCG00000024578
GO:0015747	0.213047240842635	0.448273754324833	2	11	urate transport	BP	ENSSSCG00000028537,ENSSSCG00000025413
GO:0042134	0.213145483446023	0.448290754523531	1	3	rRNA primary transcript binding	MF	ENSSSCG00000035446
GO:0002237	0.21338993204042	0.448530112290483	2	10	response to molecule of bacterial origin	BP	ENSSSCG00000009002,ENSSSCG00000014369
GO:0002376	0.213439711520371	0.448530112290483	6	50	immune system process	BP	ENSSSCG00000024252,ENSSSCG00000001651,ENSSSCG00000030888,ENSSSCG00000009002,ENSSSCG00000002749,ENSSSCG00000014369
GO:1901078	0.213534800274951	0.448540357823006	1	3	negative regulation of relaxation of muscle	BP	ENSSSCG00000038323
GO:0005055	0.21413521877212	0.449611616442137	1	3	laminin receptor activity	MF	ENSSSCG00000020657
GO:0004775	0.214580469813272	0.450356308953815	1	3	succinate-CoA ligase (ADP-forming) activity	MF	ENSSSCG00000009405
GO:0048525	0.21483125761561	0.450692410491482	1	3	negative regulation of viral process	BP	ENSSSCG00000037268
GO:0065004	0.214979115789915	0.450812384524444	1	3	protein-DNA complex assembly	BP	ENSSSCG00000004535
GO:0001967	0.215233890705657	0.451156367870373	2	11	suckling behavior	BP	ENSSSCG00000016056,ENSSSCG00000012022
GO:0090303	0.215343973649852	0.451196897171118	2	10	positive regulation of wound healing	BP	ENSSSCG00000005267,ENSSSCG00000014362
GO:0016339	0.215927462261496	0.452149112444248	2	9	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules	BP	ENSSSCG00000003722,ENSSSCG00000002684
GO:0042813	0.215980318192898	0.452149112444248	3	18	Wnt-activated receptor activity	MF	ENSSSCG00000009004,ENSSSCG00000010529,ENSSSCG00000016140
GO:0045453	0.216332997170578	0.452520439532059	3	18	bone resorption	BP	ENSSSCG00000032282,ENSSSCG00000038598,ENSSSCG00000009919
GO:0034695	0.21633971938208	0.452520439532059	1	3	response to prostaglandin E	BP	ENSSSCG00000038162
GO:0016556	0.217114411809818	0.453847865229651	1	3	mRNA modification	BP	ENSSSCG00000010431
GO:0001889	0.217281608269866	0.453847865229651	5	35	liver development	BP	ENSSSCG00000008041,ENSSSCG00000009919,ENSSSCG00000025020,ENSSSCG00000023693,ENSSSCG00000002884
GO:0017038	0.217339454366814	0.453847865229651	1	3	protein import	BP	ENSSSCG00000009668
GO:0016342	0.217481023523849	0.453952833316784	2	9	catenin complex	CC	ENSSSCG00000003722,ENSSSCG00000025652
GO:0050919	0.217751490412701	0.454258083129928	4	25	negative chemotaxis	BP	ENSSSCG00000023784,ENSSSCG00000017012,ENSSSCG00000029533,ENSSSCG00000011440
GO:0051795	0.217809989980239	0.454258083129928	1	3	positive regulation of timing of catagen	BP	ENSSSCG00000010816
GO:0001798	0.21836693547171	0.455130905958808	1	3	positive regulation of type IIa hypersensitivity	BP	ENSSSCG00000013551
GO:0033018	0.218411573133088	0.455130905958808	1	3	sarcoplasmic reticulum lumen	CC	ENSSSCG00000006390
GO:0045773	0.218679106506601	0.455450659680233	3	18	positive regulation of axon extension	BP	ENSSSCG00000027130,ENSSSCG00000011435,ENSSSCG00000016974
GO:0001823	0.218748225123974	0.455450659680233	2	10	mesonephros development	BP	ENSSSCG00000005045,ENSSSCG00000030095
GO:0035749	0.218930008754118	0.455595137752707	1	3	myelin sheath adaxonal region	CC	ENSSSCG00000004578
GO:0045179	0.219000880778152	0.455595137752707	1	3	apical cortex	CC	ENSSSCG00000030361
GO:0051894	0.219705986142302	0.456641329122445	3	17	positive regulation of focal adhesion assembly	BP	ENSSSCG00000011801,ENSSSCG00000035066,ENSSSCG00000003603
GO:0035928	0.219811438097632	0.456641329122445	1	3	rRNA import into mitochondrion	BP	ENSSSCG00000000133
GO:0070858	0.219861935505713	0.456641329122445	1	3	negative regulation of bile acid biosynthetic process	BP	ENSSSCG00000000875
GO:0006970	0.21987114680594	0.456641329122445	2	10	response to osmotic stress	BP	ENSSSCG00000002734,ENSSSCG00000030241
GO:0046653	0.220739209014914	0.458252754581275	1	3	tetrahydrofolate metabolic process	BP	ENSSSCG00000017781
GO:0032929	0.221672222594448	0.459854491510025	1	3	negative regulation of superoxide anion generation	BP	ENSSSCG00000032282
GO:0052405	0.22169573937038	0.459854491510025	1	3	negative regulation by host of symbiont molecular function	BP	ENSSSCG00000004578
GO:0032190	0.222141061058458	0.460586053203776	1	3	acrosin binding	MF	ENSSSCG00000002481
GO:0010812	0.222623818605915	0.461276805253811	2	10	negative regulation of cell-substrate adhesion	BP	ENSSSCG00000036135,ENSSSCG00000004038
GO:1902895	0.222659761184462	0.461276805253811	3	18	positive regulation of pri-miRNA transcription by RNA polymerase II	BP	ENSSSCG00000033327,ENSSSCG00000010816,ENSSSCG00000005045
GO:0001974	0.222934391884408	0.46165339294014	4	27	blood vessel remodeling	BP	ENSSSCG00000023784,ENSSSCG00000040125,ENSSSCG00000040779,ENSSSCG00000014149
GO:1902445	0.223152443468094	0.461912551591742	1	3	regulation of mitochondrial membrane permeability involved in programmed necrotic cell death	BP	ENSSSCG00000010330
GO:0044313	0.223383554784659	0.462198516183656	1	3	protein K6-linked deubiquitination	BP	ENSSSCG00000011765
GO:0003841	0.22385412718339	0.462933481196363	1	3	1-acylglycerol-3-phosphate O-acyltransferase activity	MF	ENSSSCG00000001435
GO:0050830	0.223924984367911	0.462933481196363	5	48	defense response to Gram-positive bacterium	BP	ENSSSCG00000035419,ENSSSCG00000025560,ENSSSCG00000009002,ENSSSCG00000032282,ENSSSCG00000028758
GO:0017147	0.224058338853971	0.462934652068264	4	27	Wnt-protein binding	MF	ENSSSCG00000009004,ENSSSCG00000035299,ENSSSCG00000010529,ENSSSCG00000016140
GO:0035582	0.22411176740312	0.462934652068264	1	3	sequestering of BMP in extracellular matrix	BP	ENSSSCG00000004658
GO:0070403	0.224612403425966	0.463134019883286	2	12	NAD+ binding	MF	ENSSSCG00000004822,ENSSSCG00000009699
GO:1902510	0.224841058678601	0.463134019883286	1	3	regulation of apoptotic DNA fragmentation	BP	ENSSSCG00000024644
GO:0009166	0.224848414027768	0.463134019883286	1	3	nucleotide catabolic process	BP	ENSSSCG00000021938
GO:0005502	0.224880933375316	0.463134019883286	1	4	11-cis retinal binding	MF	ENSSSCG00000001836
GO:0048247	0.225078033197806	0.463134019883286	2	15	lymphocyte chemotaxis	BP	ENSSSCG00000032343,ENSSSCG00000038162
GO:0032451	0.225123765714892	0.463134019883286	1	3	demethylase activity	MF	ENSSSCG00000001901
GO:0004514	0.225210396783723	0.463134019883286	1	3	nicotinate-nucleotide diphosphorylase (carboxylating) activity	MF	ENSSSCG00000027454
GO:0008745	0.225213382738385	0.463134019883286	1	3	N-acetylmuramoyl-L-alanine amidase activity	MF	ENSSSCG00000025560
GO:0009253	0.225213382738385	0.463134019883286	1	3	peptidoglycan catabolic process	BP	ENSSSCG00000025560
GO:0015813	0.225241034149996	0.463134019883286	2	10	L-glutamate transmembrane transport	BP	ENSSSCG00000015336,ENSSSCG00000015949
GO:0015036	0.225554528474908	0.463134019883286	1	3	disulfide oxidoreductase activity	MF	ENSSSCG00000002496
GO:0008211	0.225576227005327	0.463134019883286	1	3	glucocorticoid metabolic process	BP	ENSSSCG00000002475
GO:0015165	0.225576350100736	0.463134019883286	1	3	pyrimidine nucleotide-sugar transmembrane transporter activity	MF	ENSSSCG00000032043
GO:0002025	0.225675150065064	0.463134019883286	1	3	norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure	BP	ENSSSCG00000038598
GO:0031649	0.225675150065064	0.463134019883286	1	3	heat generation	BP	ENSSSCG00000038598
GO:0017081	0.225756898617542	0.463134019883286	1	3	chloride channel regulator activity	MF	ENSSSCG00000017232
GO:0005575	0.225791806958384	0.463134019883286	3	22	cellular_component	CC	ENSSSCG00000011828,ENSSSCG00000016491,ENSSSCG00000009526
GO:0005372	0.226340721990304	0.464068482365274	1	3	water transmembrane transporter activity	MF	ENSSSCG00000033190
GO:2000482	0.226680638153809	0.464573838788434	1	3	regulation of interleukin-8 secretion	BP	ENSSSCG00000006403
GO:0045652	0.227115233469907	0.465272740342965	1	3	regulation of megakaryocyte differentiation	BP	ENSSSCG00000014149
GO:0061136	0.227261222485688	0.46538006515603	2	11	regulation of proteasomal protein catabolic process	BP	ENSSSCG00000008041,ENSSSCG00000007968
GO:2000736	0.227365523259809	0.465401968566394	1	3	regulation of stem cell differentiation	BP	ENSSSCG00000025568
GO:0000033	0.227472937894974	0.465430225190869	1	3	alpha-1,3-mannosyltransferase activity	MF	ENSSSCG00000021319
GO:0045111	0.228130337863492	0.466430135748143	6	46	intermediate filament cytoskeleton	CC	ENSSSCG00000020785,ENSSSCG00000000252,ENSSSCG00000032203,ENSSSCG00000006474,ENSSSCG00000011890,ENSSSCG00000035223
GO:0003016	0.228200974610809	0.466430135748143	2	10	respiratory system process	BP	ENSSSCG00000002555,ENSSSCG00000014007
GO:0000253	0.22824306522028	0.466430135748143	1	3	3-keto sterol reductase activity	MF	ENSSSCG00000017690
GO:0032868	0.228559840278194	0.466791075140374	4	27	response to insulin	BP	ENSSSCG00000035392,ENSSSCG00000013270,ENSSSCG00000038783,ENSSSCG00000007507
GO:0010453	0.228616000636082	0.466791075140374	1	3	regulation of cell fate commitment	BP	ENSSSCG00000005045
GO:0002138	0.228726900559046	0.466791075140374	1	3	retinoic acid biosynthetic process	BP	ENSSSCG00000004822
GO:0060336	0.228795223273752	0.466791075140374	1	3	negative regulation of interferon-gamma-mediated signaling pathway	BP	ENSSSCG00000004195
GO:0033632	0.229153340415578	0.467329946081318	1	3	regulation of cell-cell adhesion mediated by integrin	BP	ENSSSCG00000015894
GO:0035256	0.229390722602852	0.467622252062887	1	3	G-protein coupled glutamate receptor binding	MF	ENSSSCG00000013919
GO:0004435	0.229690388019138	0.468041233291457	3	18	phosphatidylinositol phospholipase C activity	MF	ENSSSCG00000007058,ENSSSCG00000027550,ENSSSCG00000016192
GO:0014902	0.230078994168293	0.468510894269467	2	11	myotube differentiation	BP	ENSSSCG00000040643,ENSSSCG00000014149
GO:0090090	0.23021536047515	0.468510894269467	9	75	negative regulation of canonical Wnt signaling pathway	BP	ENSSSCG00000032094,ENSSSCG00000009004,ENSSSCG00000035299,ENSSSCG00000005166,ENSSSCG00000030820,ENSSSCG00000010529,ENSSSCG00000003722,ENSSSCG00000016634,ENSSSCG00000021798
GO:1903237	0.230275255459988	0.468510894269467	1	3	negative regulation of leukocyte tethering or rolling	BP	ENSSSCG00000038162
GO:0008582	0.230368054101005	0.468510894269467	1	3	regulation of synaptic growth at neuromuscular junction	BP	ENSSSCG00000005087
GO:0008209	0.2304360307162	0.468510894269467	2	10	androgen metabolic process	BP	ENSSSCG00000027646,ENSSSCG00000016519
GO:1904645	0.230486252490571	0.468510894269467	1	3	response to amyloid-beta	BP	ENSSSCG00000007039
GO:0015186	0.230655058781471	0.468662424299744	1	3	L-glutamine transmembrane transporter activity	MF	ENSSSCG00000011397
GO:0004383	0.231097199014359	0.469177326867861	3	17	guanylate cyclase activity	MF	ENSSSCG00000017101,ENSSSCG00000006572,ENSSSCG00000005322
GO:0008074	0.231097199014359	0.469177326867861	3	17	guanylate cyclase complex, soluble	CC	ENSSSCG00000017101,ENSSSCG00000006572,ENSSSCG00000005322
GO:0061890	0.231456391115857	0.469714765970629	1	3	positive regulation of astrocyte activation	BP	ENSSSCG00000012022
GO:0060363	0.231949268646997	0.470271536817062	1	4	cranial suture morphogenesis	BP	ENSSSCG00000005045
GO:0070527	0.231976572543821	0.470271536817062	4	29	platelet aggregation	BP	ENSSSCG00000010313,ENSSSCG00000008997,ENSSSCG00000024314,ENSSSCG00000008348
GO:0005313	0.232102685171191	0.470271536817062	2	10	L-glutamate transmembrane transporter activity	MF	ENSSSCG00000015336,ENSSSCG00000015949
GO:0016773	0.232109081124109	0.470271536817062	3	20	phosphotransferase activity, alcohol group as acceptor	MF	ENSSSCG00000036449,ENSSSCG00000011254,ENSSSCG00000008261
GO:1900407	0.232332541238957	0.470400965978429	1	3	regulation of cellular response to oxidative stress	BP	ENSSSCG00000002283
GO:0090023	0.232390664364165	0.470400965978429	3	21	positive regulation of neutrophil chemotaxis	BP	ENSSSCG00000014117,ENSSSCG00000028758,ENSSSCG00000038162
GO:0031623	0.232484058743941	0.470400965978429	4	29	receptor internalization	BP	ENSSSCG00000022230,ENSSSCG00000016322,ENSSSCG00000013408,ENSSSCG00000016634
GO:0005157	0.232700185067209	0.470400965978429	1	3	macrophage colony-stimulating factor receptor binding	MF	ENSSSCG00000040629
GO:0014068	0.232719408561386	0.470400965978429	6	48	positive regulation of phosphatidylinositol 3-kinase signaling	BP	ENSSSCG00000033327,ENSSSCG00000000915,ENSSSCG00000010509,ENSSSCG00000013252,ENSSSCG00000010816,ENSSSCG00000035066
GO:1902742	0.23274062274878	0.470400965978429	1	3	apoptotic process involved in development	BP	ENSSSCG00000015066
GO:0007501	0.232993236411908	0.470690768491837	1	3	mesodermal cell fate specification	BP	ENSSSCG00000008446
GO:0045177	0.233073345138154	0.470690768491837	8	66	apical part of cell	CC	ENSSSCG00000007032,ENSSSCG00000015926,ENSSSCG00000017232,ENSSSCG00000029189,ENSSSCG00000026387,ENSSSCG00000012022,ENSSSCG00000015896,ENSSSCG00000022725
GO:0034186	0.233433404494083	0.471164395555171	1	3	apolipoprotein A-I binding	MF	ENSSSCG00000028350
GO:2000105	0.233577151112948	0.471164395555171	1	3	positive regulation of DNA-dependent DNA replication	BP	ENSSSCG00000005045
GO:0008242	0.233592163122184	0.471164395555171	1	3	omega peptidase activity	MF	ENSSSCG00000022945
GO:0055001	0.23450643840303	0.472816711978859	1	3	muscle cell development	BP	ENSSSCG00000009281
GO:0030576	0.234685335091079	0.472947381263392	1	3	Cajal body organization	BP	ENSSSCG00000015066
GO:0051213	0.23480260820423	0.472947381263392	2	11	dioxygenase activity	MF	ENSSSCG00000008868,ENSSSCG00000014219
GO:0097647	0.234856613905735	0.472947381263392	1	4	amylin receptor signaling pathway	BP	ENSSSCG00000013408
GO:0004683	0.235166591073839	0.473379874825557	3	19	calmodulin-dependent protein kinase activity	MF	ENSSSCG00000010311,ENSSSCG00000014443,ENSSSCG00000039535
GO:0045604	0.235541631553449	0.473858863920432	1	3	regulation of epidermal cell differentiation	BP	ENSSSCG00000030165
GO:0033132	0.235595155191333	0.473858863920432	1	3	negative regulation of glucokinase activity	BP	ENSSSCG00000028672
GO:1902806	0.236196700244164	0.474876665432263	1	3	regulation of cell cycle G1/S phase transition	BP	ENSSSCG00000032320
GO:0043395	0.236483489924189	0.474989720729277	2	11	heparan sulfate proteoglycan binding	MF	ENSSSCG00000016364,ENSSSCG00000011801
GO:1903445	0.236502352836906	0.474989720729277	1	3	protein transport from ciliary membrane to plasma membrane	BP	ENSSSCG00000009773
GO:0061056	0.236539531079182	0.474989720729277	1	3	sclerotome development	BP	ENSSSCG00000009004
GO:0046040	0.236875432381888	0.475465734142614	1	3	IMP metabolic process	BP	ENSSSCG00000034896
GO:0045726	0.236967837732381	0.475465734142614	1	3	positive regulation of integrin biosynthetic process	BP	ENSSSCG00000010816
GO:0071813	0.237130807959769	0.475548266468617	1	3	lipoprotein particle binding	MF	ENSSSCG00000002684
GO:0051891	0.237200261633582	0.475548266468617	1	3	positive regulation of cardioblast differentiation	BP	ENSSSCG00000010816
GO:0008219	0.237467009624017	0.475705728054907	3	20	cell death	BP	ENSSSCG00000010816,ENSSSCG00000024644,ENSSSCG00000036723
GO:0006166	0.237625763435313	0.475705728054907	1	4	purine ribonucleoside salvage	BP	ENSSSCG00000034896
GO:0008299	0.237632333133836	0.475705728054907	2	11	isoprenoid biosynthetic process	BP	ENSSSCG00000009931,ENSSSCG00000036808
GO:0001520	0.2376868725005	0.475705728054907	1	4	outer dense fiber	CC	ENSSSCG00000005627
GO:0048133	0.237757187090998	0.475705728054907	1	3	male germ-line stem cell asymmetric division	BP	ENSSSCG00000030095
GO:0046007	0.238188437474197	0.476376874948394	2	10	negative regulation of activated T cell proliferation	BP	ENSSSCG00000004195,ENSSSCG00000007039
GO:0033198	0.238816169764221	0.477221992304662	2	11	response to ATP	BP	ENSSSCG00000010101,ENSSSCG00000017868
GO:0034435	0.238823186515794	0.477221992304662	1	3	cholesterol esterification	BP	ENSSSCG00000028350
GO:0050732	0.238898941843585	0.477221992304662	2	10	negative regulation of peptidyl-tyrosine phosphorylation	BP	ENSSSCG00000030361,ENSSSCG00000009004
GO:0030514	0.239371762392394	0.477974458881519	5	39	negative regulation of BMP signaling pathway	BP	ENSSSCG00000009004,ENSSSCG00000037102,ENSSSCG00000012576,ENSSSCG00000008723,ENSSSCG00000026067
GO:0006595	0.239673605440838	0.478207067622963	1	4	polyamine metabolic process	BP	ENSSSCG00000004550
